Year,Winner,Age,Breeding,Foaled,Jockey,Trainer,From,Time,Track,No,Weight,Barrier,Odds
2023,Without A Fight,7g,Teofilo - Khor Sheed,IRE,Mark Zahra,Anthony & Sam Freedman,IRE,3:18.37,Good,3,56.5,-16,7-1
2022,Gold Trip,5g,Outstrip - Sarvana,FR,Mark Zahara,Ciaron Maher & David Eustace,FR,03:24.9,Soft,1,57.5,-14,20-1
2021,Verry Elleegant,6m,Zed - Opulence,NZ,James McDonald,Chris Waller,AUS,03:17.4,Good,4,57,-18,17-1
2020,Twilight Payment,8g,Teofilo - Dream On Buddy,IRE,Jye McNeil,Joseph O'Brien,IRE,03:17.3,Good,6,55.5,-12,25-1
2019,Vow And Declare,4g,Declaration Of War - Geblitzt,AUS,Craig Williams,Danny O'Brien,AUS,03:24.8,Soft,23,52,-21,10-1
2018,Cross Counter,4g,Teofilo - Waitress,GB,Kerrin McEvoy,Charlie Appleby,GB,03:21.2,Soft,23,51,-19,11-1
2017,Rekindling,4h,High Chaparral - Sitara,GB,Corey Brown,Joseph O'Brien,IRE,03:21.2,Good,22,51.5,-4,15-1
2016,Almandin,7g,Monsun - Anatola,GER,Kerrin McEvoy,Robert Hickmott,AUS,03:20.6,Good,17,52,-17,10-1
2015,Prince of Penzance,6g,Pentire - Royal Successor,NZ,Michelle Payne,Darren Weir,AUS,03:23.1,Good,19,53,-1,100/1
2014,Protectionist,5h,Monsun - Patineuse,GER,Ryan Moore,Andreas Wohler,GER,03:17.7,Good,5,56.5,-11,07-1
2013,Fiorente,6h,Monsun - Desert Bloom,IRE,Damien Oliver,Gai Waterhouse,AUS,3:20.30,Dead,6,55,-5,13/2f
2012,Green Moon,6h,Montjeu - Green Noon,IRE,Brett Prebble,Robert Hickmott,AUS,03:20.4,Dead,14,53.5,-5,19-1
2011,Dunaden,5h,Nicobar - La Marlia,FR,Christophe Lemaire,Mikel Delzangles,FR,3:20.84,Good,3,54.5,-13,15-Feb
2010,Americain,6h,Dynaformer - American,United States,Gérald Mossé,Alain de Royer Dupre,FR,3:26.87,Slow,8,54.5,-11,12-1
2009,Shocking,4h,Street Cry - Machiavellian,AUS,Corey Brown,Mark Kavanagh,AUS,3:23.87,Dead,21,51,-21,09-1
2008,Viewed,5h,Scenic - Lovers Knot,NZ,Blake Shinn,Bart Cummings,AUS,3:20.40,Good,10,53,-8,40/1
2007,Efficient,4g,Zabeel - Refused the Dance,NZ,Michael Rodd,Graeme Rogerson,AUS,3:23.34,Good,6,54.5,-9,16-1
2006,Delta Blues,5h,Sunday Silence - Dixie Splash,JPN,Yasunari Iwata,Katsuhiko Sumii,JPN,3:21.47,Good,2,56,-10,17-1
2005,Makybe Diva,6m,Desert King - Tugela,GB,Glen Boss,Lee Freedman,AUS,3:19.17,Dead,1,58,-14,7/2f
2004,Makybe Diva,5m,Desert King - Tugela,GB,Glen Boss,Lee Freedman,AUS,3:28.55,Dead,5,55.5,-7,5/2f
2003,Makybe Diva,4m,Desert King - Tugela,GB,Glen Boss,David Hall,AUS,3:19.90,Good,12,51,-14,07-1
2002,Media Puzzle,5h,Theatrical - Market Slide,United States,Damien Oliver,Dermot K. Weld,IRE,3:16.97,Good,14,52.5,-3,11-Feb
2001,Ethereal,4m,Rhythm - Romanee Conti,NZ,Scott Seamer,Sheila Laxon,NZ,3:21.08,Dead,13,52,-11,09-1
2000,Brew,6g,Sir Tristram - Horlicks,NZ,Kerrin McEvoy,Mike Moroney,NZ,3:18.68,Good,24,49,-22,14-1
1999,Rogan Josh,7g,Old Spice - Eastern Mystique,AUS,John Marshall,Bart Cummings,AUS,3:19.64,Good,17,50,-21,05-1
1998,Jezabeel,6m,Zabeel - Passefleur,NZ,Chris Munce,Brian Jenkins,NZ,3:18.59,Good,22,51,-16,6/1f
1997,Might and Power,4g,Zabeel - Benediction,NZ,Jim Cassidy,Jack Denham,AUS,3:18.33,Good,3,56,-2,7/2f
1996,Saintly,4g,Sky Chase - All Grace,AUS,Darren Beadman,Bart Cummings,AUS,3:18.80,Good,5,55.5,-3,08-1
1995,Doriemus,5g,Norman Pentaquad - Golden Woods,NZ,Damien Oliver,Lee Freedman,AUS,3:27.60,Heavy,6,54.5,-21,10-1
1994,Jeune,6h,Kalaglow - Youthful,GB,Wayne Harris,David Hayes,AUS,3:19.80,Good,3,56.5,-9,16-1
1993,Vintage Crop,7g,Rousillon - Overplay,IRE,Michael Kinane,Dermot K. Weld,IRE,3:23.40,Slow,6,55.5,-5,14-1
1992,Subzero,4g,Kala Dancer - Wiley Trader,AUS,Greg Hall,Lee Freedman,AUS,3:24.70,Slow,8,54.5,-14,04-1
1991,Let's Elope,4m,Nassipour - Sharon 1e,NZ,Steven King,Bart Cummings,AUS,3:18.90,Fast,15,51,-10,3/1f
1990,Kingston Rule,5h,Secretariat - Rose of Kingston,United States,Darren Beadman,Bart Cummings,AUS,3:16.30,Fast,8,53,-1,7/1ef
1989,Tawrrific,5g,Tawfig - Joyarty,NZ,Shane Dye,Lee Freedman,AUS,3:17.10,Fast,6,54,-11,30-1
1988,Empire Rose,6m,Sir Tristram - Summer Fleur,NZ,Tony Allan,Laurie Laxon,NZ,3:18.90,Fast,11,53.5,-20,5/1ef
